source,target
Brian,Fernando
Brian,Dzain
Brian,Misael
Fernando,Brian
Fernando,Dzain
Fernando,Misael
Dzain,Brian
Dzain,Fernando
Dzain,Misael
Misael,Brian
Misael,Fernando
Misael,Dzain
Karen,Estefania
Karen,Marisol
Estefania,Karen
Estefania,Marisol
Marisol,Estefania
Marisol,Karen
